Run 1696281871
event 1
V              0.0348694      0.091887       0.581417       0.59234        0.205343       -0.262303      22.6894        8.9038e-08     
DM             0.0337063      0.0475648      0.430285       0.434382       0.205343       -0.262303      22.6894        8.9038e-08     
Recoil_DM      0.0308618      0.0318018      0.277804       0.281572       22.6481        31.4079        309.188        1.05379e-06    
electron       0.00284447     0.015763       0.152482       0.153321       22.6481        31.4079        309.188        1.05379e-06    

endevent 26

event 27
pion           0.12692        0.134447       1.02325        1.04854        0.00079315     0.00303208     -1.14572       9.5212e-09     
V              0.0914883      0.120361       0.971563       0.984315       0.00079315     0.00303208     -1.14572       9.5212e-09     
DM             0.0561216      0.0772113      0.717514       0.723935       0.00079315     0.00303208     -1.14572       9.5212e-09     
Recoil_DM      0.0410717      0.0613828      0.464249       0.470241       38.5226        53.0008        491.356        1.66703e-06    
electron       0.0150499      0.0158285      0.253265       0.254206       38.5226        53.0008        491.356        1.66703e-06    

endevent 27

event 28
pion           0.271162       0.0993995      1.53332        1.56611        0.128625       0.982351       165.99         5.6705e-07     
V              0.0906549      0.0522405      0.801695       0.811071       0.128625       0.982351       165.99         5.6705e-07     
DM             0.0412346      0.0559697      0.402928       0.409058       0.128625       0.982351       165.99         5.6705e-07     
Recoil_DM      0.0338358      0.0551815      0.369468       0.375287       21.7223        30.2925        376.995        1.28159e-06    
electron       0.00739875     0.00078819     0.0334608      0.0342819      21.7223        30.2925        376.995        1.28159e-06    

endevent 28

event 29
pion           -0.0314028     0.126445       1.55771        1.56896        0.691224       -0.424229      27.965         1.0675e-07     
V              0.0398269      0.0509783      0.60406        0.609687       0.691224       -0.424229      27.965         1.0675e-07     
DM             0.0404311      0.0555042      0.499452       0.504293       0.691224       -0.424229      27.965         1.0675e-07     
Recoil_DM      0.0411162      0.0479242      0.407671       0.412706       27.3021        36.1074        356.693        1.2139e-06     
electron       -0.000685052   0.00758        0.0917816      0.0920981      27.3021        36.1074        356.693        1.2139e-06     

endevent 29

event 30
pion           0.358399       0.693495       5.23304        5.29267        -0.960098      0.253403       133.935        4.6011e-07     
V              0.0948625      0.115744       0.820324       0.834492       -0.960098      0.253403       133.935        4.6011e-07     
DM             0.0565404      0.0763078      0.563528       0.571601       -0.960098      0.253403       133.935        4.6011e-07     
Recoil_DM      0.0404622      0.0388273      0.359737       0.364279       30.2017        42.3099        444.519        1.51095e-06    
electron       0.0160782      0.0374805      0.203791       0.207832       30.2017        42.3099        444.519        1.51095e-06    

endevent 30

event 31
